Experiment,Plot,Age,Column,block,breeding.program,population,combine grain_2020_kg,tot_biom_summer,sbio_iwg_kg,sbio_legume_kg,sbio_weeds_kg,spikes_kg,qgrain_kg,cgrain_kg,csbiomass_1718,per_plot,cp_siwg_nirs,cp_siwg_wet,adf_siwg_nirs,adf_siwg_wet,ndf_siwg_nirs,ndf_siwg_wet,cp_sleg_nirs,cp_sleg_wet,adf_sleg_nirs,adf_sleg_wet,ndf_sleg_nirs,ndf_sleg_wet,cp_fiwg_nirs,cp_fiwg_wet,adf_fiwg_nirs,adf_fiwg_wet,ndf_fiwg_nirs,ndf_fiwg_wet,cp_fleg_nirs,cp_fleg_wet,adf_fleg_nirs,adf_fleg_wet,ndf_fleg_nirs,ndf_fleg_wet
2018,4097,1,,7,FO,Oahe forage,.,4080,1840,760,760,792,91.2,66.54047273,.,0.618181818,2.33,.,45.63,.,66.16,.,16.29,12.03,41.44,26.5,54.25,39.4,.,.,.,.,.,.,.,.,.,.,.,.
2018,4098,1,,7,KS,AK5 2018 harvest,.,3560,2480,480,640,960,211.6,84.15412727,.,0.781818182,2.18,3.03,47.48,39,69.97,63.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4099,1,,7,MN,MN: 1501,.,3560,2680,600,440,1532,319.6,70.45461818,.,0.654545455,2.38,.,49.23,.,73.09,.,16.42,12.61,37.35,26.3,49.71,39.5,.,.,.,.,.,.,.,.,.,.,.,.
2018,4100,1,,8,KS,Kansas Cycle 4,.,4040,2640,640,880,1064,228.4,27.39901818,.,0.254545455,2.14,.,46.7,.,68.7,.,17.21,13.18,39.54,26.9,50.7,39.3,.,.,.,.,.,.,.,.,.,.,.,.
2018,4101,1,,8,KS,WI-HK1,.,3680,2240,640,880,1516,51.2,95.89656364,.,0.890909091,2.32,2.93,49.37,39,71.48,64.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4102,1,,9,KS,WI-HK1,.,2880,1640,680,600,996,238.4,37.18438182,.,0.345454545,2.8,.,47.25,.,70.41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4103,1,,9,KS,Kansas Cycle 4,.,3720,2160,960,880,800,182.8,46.96974545,.,0.436363636,2.91,.,47.91,.,70.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4104,1,,10,MN,MN: 1501,.,4720,760,1960,2120,240,33.2,25.44194545,.,0.236363636,3.75,.,49.97,.,72.71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4105,1,,10,FO,Oahe forage,.,4720,1240,1360,2200,484,78.8,31.31316364,.,0.290909091,4.58,4.44,49.04,39.4,69.1,64.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4106,1,,10,CA,Canada 2,.,3680,800,1120,1920,356,49.6,33.27023636,.,0.309090909,3.5,.,49.23,.,71.86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
